Material Quantity (gm),Additive Catalyst (gm),Ash Component (gm),Water Mix (ml),Plasticizer (gm),Moderate Aggregator,Refined Aggregator,Formulation Duration (hrs),Compression Strength MPa,Material Quantity (gm),Refined Aggregator,Additive Catalyst (gm),Ash Component (gm),Water Mix (ml),Plasticizer (gm),Moderate Aggregator,Formulation Duration (hrs),Material Quantity (gm)^2,Material Quantity (gm) Refined Aggregator,Material Quantity (gm) Additive Catalyst (gm),Material Quantity (gm) Ash Component (gm),Material Quantity (gm) Water Mix (ml),Material Quantity (gm) Plasticizer (gm),Material Quantity (gm) Moderate Aggregator,Material Quantity (gm) Formulation Duration (hrs),Refined Aggregator^2,Refined Aggregator Additive Catalyst (gm),Refined Aggregator Ash Component (gm),Refined Aggregator Water Mix (ml),Refined Aggregator Plasticizer (gm),Refined Aggregator Moderate Aggregator,Refined Aggregator Formulation Duration (hrs),Additive Catalyst (gm)^2,Additive Catalyst (gm) Ash Component (gm),Additive Catalyst (gm) Water Mix (ml),Additive Catalyst (gm) Plasticizer (gm),Additive Catalyst (gm) Moderate Aggregator,Additive Catalyst (gm) Formulation Duration (hrs),Ash Component (gm)^2,Ash Component (gm) Water Mix (ml),Ash Component (gm) Plasticizer (gm),Ash Component (gm) Moderate Aggregator,Ash Component (gm) Formulation Duration (hrs),Water Mix (ml)^2,Water Mix (ml) Plasticizer (gm),Water Mix (ml) Moderate Aggregator,Water Mix (ml) Formulation Duration (hrs),Plasticizer (gm)^2,Plasticizer (gm) Moderate Aggregator,Plasticizer (gm) Formulation Duration (hrs),Moderate Aggregator^2,Moderate Aggregator Formulation Duration (hrs),Formulation Duration (hrs)^2
129.34,63.66,33.53,185.94,2.49,885.38,892.64,268.95,61.96,129.34,892.64,63.66,33.53,185.94,2.49,885.38,268.95,16728.835600000002,115454.0576,8233.7844,4336.7702,24049.4796,322.05660000000006,114515.04920000001,34785.993,796806.1696,56825.4624,29930.2192,165977.4816,2222.6736,790325.6032,240075.528,4052.5955999999996,2134.5198,11836.9404,158.51340000000002,56363.290799999995,17121.357,1124.2609,6234.5682,83.48970000000001,29686.791400000002,9017.8935,34573.6836,462.99060000000003,164627.5572,50008.562999999995,6.200100000000001,2204.5962,669.6855,783897.7444,238122.951,72334.1025
390.26,301.82,171.89,290.3,23.59,864.45,666.55,32.74,63.1,390.26,666.55,301.82,171.89,290.3,23.59,864.45,32.74,152302.8676,260127.80299999999,117788.2732,67081.79139999999,113292.478,9206.2334,337360.257,12777.1124,444288.90249999997,201178.12099999998,114573.27949999999,193499.465,15723.914499999999,576199.1475,21822.847,91095.3124,51879.839799999994,87618.346,7119.9338,260908.299,9881.586800000001,29546.172099999996,49899.667,4054.8850999999995,148590.3105,5627.6786,84274.09000000001,6848.177000000001,250949.83500000002,9504.422,556.4881,20392.375500000002,772.3366000000001,747273.8025000001,28302.093000000004,1071.9076000000002
526.44,213.43,16.6,250.43,37.45,1101.52,662.58,303.16,65.54,526.44,662.58,213.43,16.6,250.43,37.45,1101.52,303.16,277139.07360000006,348808.61520000006,112358.08920000002,8738.904000000002,131836.36920000002,19715.178000000004,579884.1888,159595.55040000004,439012.2564000001,141414.4494,10998.828000000001,165929.9094,24813.621000000003,729845.1216000001,200867.75280000002,45552.3649,3542.9380000000006,53449.274900000004,7992.9535000000005,235097.4136,64703.43880000001,275.56000000000006,4157.138000000001,621.6700000000001,18285.232,5032.456000000001,62715.1849,9378.603500000001,275853.6536,75920.3588,1402.5025000000003,41251.924,11353.342000000002,1213346.3104,333936.8032,91905.98560000001
248.83,67.95,95.01,249.6,34.69,942.89,770.57,36.21,46.27,248.83,770.57,67.95,95.01,249.6,34.69,942.89,36.21,61916.36890000001,191740.93310000002,16907.9985,23641.338300000003,62107.968,8631.9127,234619.3187,9010.134300000002,593778.1249,52360.23150000001,73211.85570000001,192334.272,26731.0733,726562.7473,27902.339700000004,4617.2025,6455.9295,16960.32,2357.1855,64069.3755,2460.4695,9026.9001,23714.496,3295.8969,89583.9789,3440.3121,62300.159999999996,8658.624,235345.34399999998,9038.016,1203.3961,32708.854099999997,1256.1249,889041.5521,34142.0469,1311.1641
579.73,210.82,22.16,297.21,31.75,869.18,698.85,66.94,42.07,579.73,698.85,210.82,22.16,297.21,31.75,869.18,66.94,336086.8729,405144.3105,122218.6786,12846.8168,172301.5533,18406.4275,503889.7214,38807.1262,488391.3225,147331.557,15486.516000000001,207705.20849999998,22188.4875,607426.443,46781.019,44445.0724,4671.7712,62657.81219999999,6693.535,183240.52759999997,14112.290799999999,491.0656,6586.173599999999,703.58,19261.0288,1483.3904,88333.78409999999,9436.4175,258328.98779999997,19895.237399999998,1008.0625,27596.465,2125.345,755473.8723999999,58182.909199999995,4480.9636
657.8,353.68,80.86,296.59,19.57,939.29,652.21,352.94,64.82,657.8,652.21,353.68,80.86,296.59,19.57,939.29,352.94,432700.83999999997,429023.738,232650.704,53189.708,195096.90199999997,12873.145999999999,617864.9619999999,232163.93199999997,425377.8841,230673.63280000002,52737.700600000004,193438.9639,12763.7497,612614.3309000001,230190.99740000002,125089.5424,28598.5648,104897.9512,6921.5176,332208.0872,124827.8192,6538.3396,23982.267399999997,1582.4302,75950.98939999999,28538.7284,87965.62809999999,5804.266299999999,278584.02109999995,104678.47459999999,382.98490000000004,18381.9053,6907.0358,882265.7041,331513.01259999996,124566.6436
130.3,425.88,16.72,195.52,1.17,1086.77,654.88,339.6,59.3,130.3,654.88,425.88,16.72,195.52,1.17,1086.77,339.6,16978.090000000004,85330.864,55492.164000000004,2178.616,25476.256000000005,152.451,141606.13100000002,44249.880000000005,428867.8144,278900.2944,10949.593599999998,128042.1376,766.2095999999999,711703.9376,222397.24800000002,181373.7744,7120.713599999999,83268.0576,498.27959999999996,462833.6076,144628.848,279.55839999999995,3269.0944,19.562399999999997,18170.7944,5678.112,38228.070400000004,228.7584,212485.2704,66398.592,1.3688999999999998,1271.5209,397.332,1181069.0329,369067.092,115328.16000000002
257.29,289.68,160.54,232.71,5.87,826.26,1004.39,108.63,67.3,257.29,1004.39,289.68,160.54,232.71,5.87,826.26,108.63,66198.1441,258419.50310000003,74531.7672,41305.3366,59873.95590000001,1510.2923,212588.43540000002,27949.4127,1008799.2721,290951.6952,161244.7706,233731.5969,5895.7693,829887.2814,109106.8857,83914.5024,46505.2272,67411.43280000001,1700.4216000000001,239350.9968,31467.9384,25773.091599999996,37359.263399999996,942.3697999999999,132647.7804,17439.460199999998,54153.9441,1366.0077,192278.9646,25279.2873,34.456900000000005,4850.1462,637.6581,682705.5876,89756.6238,11800.4769
147.09,363.45,64.99,214.95,25.35,1146.74,652.18,30.67,76.92,147.09,652.18,363.45,64.99,214.95,25.35,1146.74,30.67,21635.468100000002,95929.1562,53459.8605,9559.3791,31616.995499999997,3728.7315000000003,168673.9866,4511.250300000001,425338.75239999994,237034.82099999997,42385.178199999995,140186.091,16532.763,747880.8931999999,20002.3606,132095.9025,23620.615499999996,78123.5775,9213.4575,416782.653,11147.0115,4223.700099999999,13969.600499999999,1647.4965,74526.6326,1993.2432999999999,46203.502499999995,5448.9825,246491.76299999998,6592.5165,642.6225000000001,29069.859,777.4845000000001,1315012.6276,35170.5158,940.6489000000001
225.37,73.67,12.53,149.71,38.78,1136.45,640.41,182.02,67.88,225.37,640.41,73.67,12.53,149.71,38.78,1136.45,182.02,50791.636900000005,144329.2017,16603.0079,2823.8860999999997,33740.142700000004,8739.848600000001,256121.73650000003,41021.847400000006,410124.96809999994,47179.0047,8024.337299999999,95875.78110000001,24835.0998,727793.9445,116567.4282,5427.2689,923.0851,11029.1357,2856.9226000000003,83722.2715,13409.413400000001,157.00089999999997,1875.8663,485.91339999999997,14239.718499999999,2280.7106,22413.084100000004,5805.7538,170137.92950000003,27250.214200000002,1503.8884,44071.531,7058.735600000001,1291518.6025,206856.62900000002,33131.2804
272.83,83.13,59.73,176.67,10.2,1033.45,981.94,287.05,73.59,272.83,981.94,83.13,59.73,176.67,10.2,1033.45,287.05,74436.2089,267902.6902,22680.3579,16296.135899999997,48200.876099999994,2782.8659999999995,281956.1635,78315.8515,964206.1636000001,81628.6722,58651.2762,173479.3398,10015.788,1014785.8930000002,281865.87700000004,6910.5969,4965.354899999999,14686.577099999999,847.9259999999999,85910.6985,23862.4665,3567.6728999999996,10552.499099999999,609.246,61727.9685,17145.4965,31212.288899999996,1802.0339999999997,182579.6115,50713.1235,104.03999999999999,10541.19,2927.91,1068018.9025,296651.8225,82397.7025
631.27,393.25,242.56,228.79,17.22,828.0,947.59,253.14,35.36,631.27,947.59,393.25,242.56,228.79,17.22,828.0,253.14,398501.81289999996,598185.1393,248246.9275,153120.8512,144428.2633,10870.469399999998,522691.56,159799.68779999999,897926.8081,372639.7675,229847.4304,216799.1161,16317.4998,784604.52,239872.9326,154645.5625,95386.72,89971.6675,6771.764999999999,325611.0,99547.305,58835.3536,55495.3024,4176.8832,200839.68,61401.638399999996,52344.8641,3939.7637999999997,189438.12,57915.90059999999,296.5284,14258.16,4359.0707999999995,685584.0,209599.91999999998,64079.859599999996
299.33,294.8,138.66,202.55,32.18,939.08,804.85,208.43,73.08,299.33,804.85,294.8,138.66,202.55,32.18,939.08,208.43,89598.44889999999,240915.7505,88242.484,41505.097799999996,60629.2915,9632.4394,281094.8164,62389.3519,647783.5225000001,237269.78000000003,111600.501,163022.36750000002,25900.073,755818.5380000001,167754.8855,86907.04000000001,40876.968,59711.740000000005,9486.664,276840.78400000004,61445.164000000004,19226.5956,28085.583000000002,4462.0788,130212.8328,28900.9038,41026.5025,6518.059,190210.654,42217.4965,1035.5524,30219.5944,6707.2774,881871.2464000001,195732.4444,43443.064900000005
442.37,230.58,0.0,201.18,14.15,968.92,775.18,43.25,79.86,442.37,775.18,230.58,0.0,201.18,14.15,968.92,43.25,195691.2169,342916.37659999996,102001.67460000001,0.0,88995.9966,6259.5355,428621.1404,19132.5025,600904.0323999999,178741.0044,0.0,155950.7124,10968.796999999999,751087.4055999999,33526.534999999996,53167.1364,0.0,46388.08440000001,3262.7070000000003,223413.5736,9972.585000000001,0.0,0.0,0.0,0.0,0.0,40473.392400000004,2846.697,194927.3256,8701.035,200.2225,13710.217999999999,611.9875000000001,938805.9663999999,41905.79,1870.5625
615.01,246.23,183.53,168.45,1.1,942.08,631.2,188.48,74.52,615.01,631.2,246.23,183.53,168.45,1.1,942.08,188.48,378237.3001,388194.31200000003,151433.9123,112872.7853,103598.43449999999,676.5110000000001,579388.6208,115917.0848,398413.44000000006,155420.37600000002,115844.13600000001,106325.64,694.32,594640.8960000001,118968.576,60629.21289999999,45190.5919,41477.443499999994,270.853,231968.3584,46409.4304,33683.2609,30915.6285,201.883,172899.9424,34591.7344,28375.402499999997,185.29500000000002,158693.376,31749.455999999995,1.2100000000000002,1036.2880000000002,207.328,887514.7264,177563.2384,35524.710399999996
615.6,297.97,175.95,234.05,3.54,931.09,734.74,149.12,34.82,615.6,734.74,297.97,175.95,234.05,3.54,931.09,149.12,378963.36000000004,452305.944,183430.33200000002,108314.81999999999,144081.18000000002,2179.224,573179.0040000001,91798.27200000001,539842.8676,218930.47780000002,129277.503,171965.897,2600.9796,684109.0666,109564.42880000001,88786.12090000001,52427.8215,69739.8785,1054.8138000000001,277436.88730000006,44433.286400000005,30958.402499999997,41181.097499999996,622.8629999999999,163825.2855,26237.664,54779.402500000004,828.537,217921.61450000003,34901.536,12.531600000000001,3296.0586000000003,527.8848,866928.5881,138844.14080000002,22236.774400000002
235.83,428.44,34.35,220.75,29.06,1145.42,950.49,75.23,50.59,235.83,950.49,428.44,34.35,220.75,29.06,1145.42,75.23,55615.78890000001,224154.05670000002,101039.0052,8100.7605,52059.4725,6853.2198,270124.3986,17741.4909,903431.2401,407227.9356,32649.3315,209820.6675,27621.2394,1088710.2558000002,71505.3627,183560.83359999998,14716.914,94578.13,12450.4664,490743.74480000004,32231.541200000003,1179.9225000000001,7582.762500000001,998.211,39345.177,2584.1505,48730.5625,6414.995,252851.46500000003,16607.0225,844.4835999999999,33285.9052,2186.1838000000002,1311986.9764000003,86169.94660000001,5659.552900000001
205.19,346.93,165.19,166.36,20.83,1015.13,915.25,203.33,75.96,205.19,915.25,346.93,165.19,166.36,20.83,1015.13,203.33,42102.9361,187800.1475,71186.5667,33895.3361,34135.4084,4274.1077,208294.5247,41721.2827,837682.5625,317527.6825,151190.1475,152260.99000000002,19064.657499999998,929097.7325,186097.7825,120360.4249,57309.3667,57715.27480000001,7226.5518999999995,352179.05090000003,70541.27690000001,27287.7361,27481.008400000002,3440.9076999999997,167689.3247,33588.0827,27675.649600000004,3465.2788,168877.02680000002,33825.978800000004,433.8888999999999,21145.1579,4235.3639,1030488.9169,206406.38290000003,41343.0889
280.6,0.0,144.33,238.51,5.61,1055.79,778.05,43.25,27.42,280.6,778.05,0.0,144.33,238.51,5.61,1055.79,43.25,78736.36000000002,218320.83000000002,0.0,40498.99800000001,66925.906,1574.1660000000002,296254.674,12135.95,605361.8024999999,0.0,112295.9565,185572.70549999998,4364.8605,821457.4095,33650.6625,0.0,0.0,0.0,0.0,0.0,0.0,20831.148900000004,34424.1483,809.6913000000001,152382.17070000002,6242.272500000001,56887.020099999994,1338.0411,251816.4729,10315.557499999999,31.472100000000005,5922.9819,242.63250000000002,1114692.5241,45662.917499999996,1870.5625
323.64,304.72,79.85,298.89,35.91,976.7,858.68,91.72,55.01,323.64,858.68,304.72,79.85,298.89,35.91,976.7,91.72,104742.84959999999,277903.19519999996,98619.58080000001,25842.654,96732.75959999999,11621.9124,316099.188,29684.2608,737331.3424,261656.9696,68565.598,256650.86519999997,30835.198799999995,838672.7559999999,78758.1296,92854.27840000001,24331.892,91077.7608,10942.4952,297620.02400000003,27948.918400000002,6376.022499999999,23866.366499999996,2867.4134999999997,77989.495,7323.842,89335.2321,10733.139899999998,291925.863,27414.190799999997,1289.5280999999998,35073.297,3293.6651999999995,953942.8900000001,89582.924,8412.5584
187.91,71.64,122.22,280.15,21.42,944.61,891.58,17.91,32.38,187.91,891.58,71.64,122.22,280.15,21.42,944.61,17.91,35310.168099999995,167536.7978,13461.8724,22966.3602,52642.98649999999,4025.0322,177501.6651,3365.4681,794914.8964000001,63872.79120000001,108968.9076,249776.137,19097.643600000003,842195.3838000001,15968.197800000002,5132.2896,8755.8408,20069.946,1534.5288,67671.8604,1283.0724,14937.7284,34239.933,2617.9524,115450.2342,2188.9602,78484.02249999999,6000.813,264632.4915,5017.4865,458.8164000000001,20233.5462,383.6322,892288.0521,16917.9651,320.7681
534.59,0.62,5.66,198.65,5.96,843.04,726.45,24.27,50.12,534.59,726.45,0.62,5.66,198.65,5.96,843.04,24.27,285786.46810000006,388352.90550000005,331.4458,3025.7794000000004,106196.30350000001,3186.1564000000003,450680.7536,12974.499300000001,527729.6025,450.399,4111.707,144309.2925,4329.642,612426.408,17630.9415,0.3844,3.5092,123.163,3.6952,522.6848,15.0474,32.0356,1124.3590000000002,33.7336,4771.6064,137.3682,39461.8225,1183.954,167469.896,4821.2355,35.5216,5024.5184,144.6492,710716.4415999999,20460.5808,589.0328999999999
593.24,26.84,240.13,169.51,10.68,951.34,754.62,29.01,52.04,593.24,754.62,26.84,240.13,169.51,10.68,951.34,29.01,351933.6976,447670.7688,15922.5616,142454.7212,100560.1124,6335.8032,564372.9416,17209.8924,569451.3444000001,20254.0008,181206.9006,127915.6362,8059.3416,717900.1908,21891.5262,720.3856,6445.089199999999,4549.6484,286.6512,25533.9656,778.6284,57662.4169,40704.436299999994,2564.5884,228445.2742,6966.1713,28733.640099999997,1810.3667999999998,161261.6434,4917.4851,114.0624,10160.3112,309.8268,905047.7956000001,27598.373400000004,841.5801000000001
366.39,297.48,61.71,232.32,29.31,832.22,766.33,97.96,69.14,366.39,766.33,297.48,61.71,232.32,29.31,832.22,97.96,134241.6321,280775.6487,108993.69720000001,22609.9269,85119.7248,10738.890899999999,304917.0858,35891.564399999996,587261.6689,227967.84840000002,47290.2243,178033.7856,22461.1323,637755.1526,75069.6868,88494.35040000001,18357.4908,69110.5536,8719.1388,247568.80560000002,29141.1408,3808.1241,14336.4672,1808.7201,51356.296200000004,6045.111599999999,53972.5824,6809.2991999999995,193341.3504,22758.067199999998,859.0760999999999,24392.3682,2871.2075999999997,692590.1284,81524.2712,9596.1616
172.39,258.64,0.0,248.27,0.0,996.72,767.69,22.25,11.64,172.39,767.69,258.64,0.0,248.27,0.0,996.72,22.25,29718.312099999996,132342.0791,44586.94959999999,0.0,42799.2653,0.0,171824.56079999998,3835.6775,589347.9361,198555.3416,0.0,190594.39630000002,0.0,765171.9768000001,17081.1025,66894.64959999999,0.0,64212.5528,0.0,257791.66079999998,5754.74,0.0,0.0,0.0,0.0,0.0,61637.992900000005,0.0,247455.67440000002,5524.007500000001,0.0,0.0,0.0,993450.7584,22177.02,495.0625
390.01,419.97,16.77,154.14,3.39,1064.49,833.73,81.66,46.11,390.01,833.73,419.97,16.77,154.14,3.39,1064.49,81.66,152107.8001,325163.0373,163792.49970000001,6540.467699999999,60116.14139999999,1322.1339,415161.7449,31848.2166,695105.7129,350141.58810000005,13981.6521,128511.14219999999,2826.3447,887497.2477000001,68082.3918,176374.80090000003,7042.896900000001,64734.1758,1423.6983000000002,447053.8653,34294.7502,281.2329,2584.9277999999995,56.8503,17851.4973,1369.4381999999998,23759.139599999995,522.5346,164080.48859999998,12587.0724,11.4921,3608.6211000000003,276.8274,1133138.9601,86926.2534,6668.3556
644.12,351.64,142.49,213.09,4.26,929.33,678.51,362.68,36.1,644.12,678.51,351.64,142.49,213.09,4.26,929.33,362.68,414890.5744,437041.8612,226498.35679999998,91780.6588,137255.5308,2743.9512,598600.0396,233609.44160000002,460375.8201,238591.25639999998,96680.88990000001,144583.6959,2890.4525999999996,630559.6983,246082.0068,123650.68959999998,50105.183600000004,74930.9676,1497.9863999999998,326789.6012,127532.7952,20303.400100000003,30363.1941,607.0074,132420.2317,51678.2732,45407.3481,907.7633999999999,198030.9297,77283.48120000001,18.147599999999997,3958.9458,1545.0167999999999,863654.2489000001,337049.4044,131536.7824
409.48,21.95,239.8,168.11,36.28,1028.06,774.51,222.78,77.43,409.48,774.51,21.95,239.8,168.11,36.28,1028.06,222.78,167673.8704,317146.35480000003,8988.086,98193.304,68837.68280000001,14855.934400000002,420970.0088,91223.9544,599865.7400999999,17000.4945,185727.498,130202.87610000001,28099.2228,796242.7505999999,172545.3378,481.80249999999995,5263.61,3690.0145,796.346,22565.916999999998,4890.021,57504.04000000001,40312.778000000006,8699.944000000001,246528.788,53422.644,28260.972100000006,6099.0308,172827.1666,37451.5458,1316.2384000000002,37298.0168,8082.4584,1056907.3635999998,229031.20679999999,49630.9284
224.57,226.26,113.39,271.18,15.82,928.45,855.69,41.46,53.41,224.57,855.69,226.26,113.39,271.18,15.82,928.45,41.46,50431.6849,192162.3033,50811.208199999994,25463.992299999998,60898.8926,3552.6974,208502.0165,9310.672199999999,732205.3761000001,193608.4194,97026.6891,232046.01420000003,13537.015800000001,794465.3805000001,35476.907400000004,51193.5876,25655.6214,61357.186799999996,3579.4332,210071.097,9380.739599999999,12857.2921,30749.1002,1793.8298,105276.9455,4701.1494,73538.59240000001,4290.0676,251777.07100000003,11243.122800000001,250.2724,14688.079000000002,655.8972,862019.4025000001,38493.537000000004,1718.9316000000001
222.65,234.04,185.12,167.92,13.77,888.2,894.16,357.4,50.75,222.65,894.16,234.04,185.12,167.92,13.77,888.2,357.4,49573.0225,199084.724,52109.006,41216.968,37387.388,3065.8905,197757.73,79575.11,799522.1055999999,209269.2064,165526.89919999999,150147.3472,12312.5832,794192.912,319572.784,54774.7216,43325.4848,39299.99679999999,3222.7308,207874.328,83645.896,34269.4144,31085.3504,2549.1023999999998,164423.584,66161.88799999999,28197.126399999997,2312.2583999999997,149146.544,60014.60799999999,189.6129,12230.514000000001,4921.397999999999,788899.2400000001,317442.68,127734.75999999998
